miner	venue	URL
JOS		https://g1.globo.com/sp/santos-regiao/noticia/2021/03/29/defesa-civil-emite-alerta-para-chuvas-intensas-a-partir-desta-segunda-no-litoral-de-sp.ghtml#G1-FEED-REGIONAIS-item-sel-24,rec-item-24h-postconvuf,d183c349-ee40-404c-94f1-667c9209c1c6
JOS		https://g1.globo.com/loterias/noticia/2021/03/29/ganhador-da-mega-da-virada-pode-perder-premio-de-r-162-milhoes-veja-para-onde-vao-valores-esquecidos.ghtml#G1-POST-TOP-1H-item-sel-8,top,002162ce-9146-47f0-9e5b-ac318de0b8ba
JOS		https://g1.globo.com/mundo/blog/sandra-cohen/post/2021/03/29/legalizacao-da-maconha-cria-mercado-promissor-e-visa-a-reparar-injusticas-em-nova-york.ghtml
JOS		https://g1.globo.com/mundo/noticia/2021/03/25/estado-de-nova-york-se-prepara-para-legalizar-maconha-e-preve-arrecadar-us-350-milhoes-com-imposto.ghtml
JOS		https://g1.globo.com/pop-arte/noticia/2021/03/29/figurinos-de-apresentacoes-do-grupo-destinys-child-cher-e-whitney-houston-vao-a-leilao.ghtml
JOS		https://g1.globo.com/pop-arte/musica/noticia/2021/03/15/beyonce-soma-28-grammys-e-bate-o-recorde-de-mulher-que-mais-venceu-o-premio.ghtml
JOS		https://g1.globo.com/fantastico/noticia/2021/03/28/uso-da-geoengenharia-solar-pode-reduzir-o-aquecimento-global-veja-como.ghtml
JOS		https://g1.globo.com/df/distrito-federal/noticia/2021/03/29/fotos-primeira-superlua-de-2021-vira-protagonista-no-ceu-de-brasilia.ghtml
JOS		https://g1.globo.com/df/distrito-federal/noticia/2021/02/24/eclipse-superlua-e-chuva-de-meteoros-saiba-quais-eventos-observar-no-ceu-de-brasilia-em-2021.ghtml
JOS		https://g1.globo.com/df/distrito-federal/noticia/2020/07/23/cometa-neowise-pode-ser-observado-no-ceu-de-brasilia-nos-proximos-dias-veja-imagens.ghtml
JOS		https://g1.globo.com/ciencia-e-saude/noticia/2021/01/02/calendario-astronomico-os-eventos-para-se-observar-nos-ceus-em-2021.ghtml
JOS		https://g1.globo.com/df/distrito-federal/noticia/2020/03/09/primeira-superlua-do-ano-e-observada-no-df.ghtml
JOS		https://g1.globo.com/df/distrito-federal/noticia/2020/03/09/inmet-e-defesa-civil-emitem-alerta-de-chuvas-intensas-no-df.ghtml
JOS		https://g1.globo.com/df/distrito-federal/noticia/2020/02/25/comportas-do-lago-paranoa-sao-abertas-pela-segunda-vez-neste-ano-veja-video.ghtml
JOS		https://g1.globo.com/pa/para/noticia/2021/03/29/casal-e-preso-por-trafico-de-drogas-em-santana-do-araguaia-no-para.ghtml
JOS		https://g1.globo.com/ap/amapa/noticia/2021/03/29/homem-que-matou-irmao-com-facada-e-preso-durante-tentativa-de-fuga-em-macapa.ghtml
JOS		https://g1.globo.com/pb/paraiba/especial-publicitario/fiep/espaco-da-industria/noticia/2021/03/09/mulheres-ocupam-176percent-dos-empregos-formais-do-setor-industrial-da-paraiba.ghtml
JOS		https://g1.globo.com/pa/para/noticia/2021/03/29/estao-abertas-novas-vagas-de-emprego-em-hospitais-paraenses.ghtml
JOS		https://g1.globo.com/pa/para/noticia/2021/03/29/homens-encapuzados-invadem-residencia-e-matam-casal-no-jurunas-em-belem.ghtml
JOS		https://g1.globo.com/pa/para/noticia/2021/03/29/tres-toneladas-de-pescado-sao-apreendidas-em-cumprimento-a-decreto-estadual-em-palestina-do-para.ghtml
JOS		https://g1.globo.com/ma/maranhao/noticia/2021/03/26/policia-prende-em-imperatriz-suspeito-de-praticar-seis-homicidios.ghtml
JOS		https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/03/25/policia-civil-investiga-agressao-a-jovem-gravida-em-perdizes.ghtml
