Miner	Venue	URLs on racial discrimination
JOS	UOL	https://www.uol.com.br/ecoa/ultimas-noticias/2020/10/04/conversa-de-portao-3-racismo-medico-e-genocidio-em-ny-ou-aqui.htm
JOS	Catraca Livre	https://catracalivre.com.br/cidadania/jogador-brasileiro-wendel-e-alvo-de-racismo-na-russia/
JOS	G1	https://g1.globo.com/pop-arte/noticia/2020/09/18/luisa-sonza-se-pronuncia-apos-acusacao-de-racismo-eu-jamais-teria-esse-tipo-de-atitude.ghtml
JOS	Midia Max	https://www.midiamax.com.br/policia/2020/vou-tacar-fogo-mulher-e-ameacada-com-ofensa-racista-apos-desacordo-comercial
JOS	Hypeness	https://www.hypeness.com.br/2020/10/racismo-para-alugar-imoveis-procurar-casa-sem-deixar-a-pessoa-ver-a-minha-foto/
JOS	Cidade Verde	https://cidadeverde.com/noticias/334294/modelo-teresinense-denuncia-ex-namorado-estrangeiro-por-perseguicao-e-difamacao
JOS	Senado	https://www12.senado.leg.br/noticias/infomaterias/2020/06/negro-continuara-sendo-oprimido-enquanto-o-brasil-nao-se-assumir-racista-dizem-especialistas
JOS	UOL	https://www.uol.com.br/ecoa/ultimas-noticias/2020/06/02/racismo-no-brasil-se-voce-esta-comodo-na-estrutura-precisa-se-incomodar.htm
JOS	Folha de SP	https://www1.folha.uol.com.br/mundo/2020/10/celebridade-global-jacinda-e-favorita-em-eleicao-na-nova-zelandia.shtml
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/09/01/so-para-branco-usar-funcionaria-denuncia-racismo-em-mercado-e-e-demitida.htm
JOS	UOL	https://noticias.uol.com.br/politica/ultimas-noticias/2020/08/31/benedita-da-silva-registra-queixa-por-racismo-contra-usuario-do-facebook.htm
JOS	UOL	https://www.uol.com.br/universa/noticias/redacao/2020/08/26/modelo-denuncia-racismo-e-cabeleireiro-se-explica-repeti-m-que-ouvi.htm
JOS	UOL	https://economia.uol.com.br/colunas/econoweek/2020/08/10/o-caso-do-motoboy-e-o-racista.htm
JOS	UOL	https://noticias.uol.com.br/internacional/ultimas-noticias/2020/08/26/racismo-nos-eua-e-mais-mortal-do-que-covid-19-aponta-estudo.htm
JOS	UOL	https://www.uol.com.br/tilt/noticias/redacao/2020/09/05/brasileiro-nunca-pesquisou-tanto-na-internet-sobre-racismo-quanto-em-2020.htm
JOS	Senado	https://www12.senado.leg.br/noticias/materias/2020/08/18/paim-pede-que-congresso-paute-projetos-de-combate-ao-racismo
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/13/decisao-de-juiza-no-pr-e-reflexo-de-racismo-no-judiciario-avaliam-juristas.htm
JOS	Senado	https://www12.senado.leg.br/noticias/materias/2020/06/05/proposta-aumenta-pena-para-crimes-de-discriminacao-e-injuria-racial
JOS	UOL	https://tab.uol.com.br/noticias/redacao/2020/05/30/por-que-protestos-contra-o-racismo-nos-eua-sao-diferentes-dos-brasileiros.htm
JOS	G1	https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2020/06/05/violencia-policial-humilhacao-no-trabalho-e-barrado-em-shopping-negros-relatam-episodios-de-racismo.ghtml
JOS	Bahia Notícias	https://www.bahianoticias.com.br/noticia/252083-jovens-denunciam-racismo-em-loja-na-calcada-e-defesa-contesta-tipificacao-do-crime.html
JOS	UOL	https://noticias.uol.com.br/colunas/leonardo-sakamoto/2020/08/08/racismo-pais-tem-cara-de-matheus-matheus-e-matheus-mas-de-mateus-tambem.htm
JOS	Economia	https://economia.uol.com.br/noticias/redacao/2020/07/20/sindicatos-pedem-investigacao-de-racismo-nas-lojas-mcdonalds.htm
JOS	Senado	https://www12.senado.leg.br/noticias/materias/2020/09/15/injuria-racial-pode-ser-classificada-como-crime-de-racismo
JOS	UOL	https://noticias.uol.com.br/colunas/leonardo-sakamoto/2020/05/31/nos-eua-protestos-contra-o-racismo-no-brasil-um-ato-com-tochas-acesas.htm
JOS	R7	https://noticias.r7.com/sao-paulo/apps-usam-caso-de-racismo-para-camuflar-precarizacao-diz-sindicato-13082020
JOS	UOL	https://noticias.uol.com.br/colunas/jamil-chade/2020/06/17/postura-do-governo-bolsonaro-sobre-racismo-abre-onda-de-protestos-na-onu.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/09/08/pai-relata-racismo-de-policiais-contra-filha-de-quem-roubou-o-celular.htm
JOS	UOL	https://entretenimento.uol.com.br/noticias/redacao/2020/09/07/justica-atualiza-decisao-sobre-musico-preso-que-vai-responder-em-liberdade.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/03/oea-condena-violencia-policial-no-brasil-e-pede-combate-ao-racismo.htm
JOS	Senado	https://www12.senado.leg.br/noticias/materias/2020/08/07/senadores-repudiam-ataque-racista-a-motoboy
JOS	UOL	https://tab.uol.com.br/noticias/redacao/2020/08/02/violencia-racismo-e-desigualdade-adultizam-criancas-negras-no-brasil.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/07/mae-de-vitima-de-racismo-em-shopping-precisa-estar-com-alguem-branco.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/07/bailarino-e-alvo-de-racismo-por-black-power-e-recebe-apoio-de-famosos.htm
JOS	UOL	https://noticias.uol.com.br/internacional/ultimas-noticias/2020/08/27/caso-jacob-blake-xerife-de-kenosha-ja-foi-acusado-de-racismo-em-2018.htm
JOS	UOL	https://noticias.uol.com.br/album/2020/06/06/protestos-contra-o-racismo-pelo-mundo.htm?mode=list&foto=1
JOS	UOL	https://www.uol.com.br/vivabem/noticias/redacao/2020/07/21/discriminacao-racial-piora-saude-cognitiva-de-pessoas-negras-diz-estudo.htm
JOS	UOL	https://www.uol.com.br/ecoa/ultimas-noticias/2020/08/18/imprensa-tem-dificuldade-de-reconhecer-seu-racismo-diz-professor-da-usp.htm
JOS	UOL	https://www.uol.com.br/ecoa/ultimas-noticias/2020/08/12/pessoas-continuam-se-surpreendendo-com-um-medico-negro-diz-fred-nicacio.htm
JOS	Folha de SP	https://www1.folha.uol.com.br/opiniao/2020/09/racismo-nao-e-esporte.shtml
JOS	UOL	https://www.uol.com.br/ecoa/ultimas-noticias/2020/09/13/adolescente-alvo-de-racismo-vira-influenciadora-e-quer-alcancar-mais-jovens.htm
JOS	Folha de SP	https://www1.folha.uol.com.br/mercado/2020/08/cervejeiros-trocam-mensagens-racistas-sobre-concorrentes-negros.shtml
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/14/diretor-mocidade-racismo-mercado-rio-multimarket.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/11/homem-diz-que-foi-alvo-de-racismo-no-mesmo-shopping-de-agressao-a-matheus.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/07/entregador-delivery-racismo-lula-bolsonaro.htm
JOS	DW	https://www.dw.com/pt-br/racismo-em-ascens%C3%A3o-na-alemanha/a-53750065
JOS	Revista Marie Claire	https://revistamarieclaire.globo.com/Noticias/noticia/2020/05/menino-de-12-anos-e-vitima-de-racismo-em-seu-perfil-sobre-livros.html
